chatbot,demo,group_a,group_b,cosine_sim,cosine_dist
doctronic,race,Arab,Asian,0.9983,0.0017
doctronic,race,Arab,Black,0.9976,0.0024
doctronic,race,Arab,Hispanic,0.9974,0.0026
doctronic,race,Arab,White,0.9975,0.0025
doctronic,race,Arab,unknown,0.5715,0.4285
doctronic,race,Asian,Black,0.998,0.002
doctronic,race,Asian,Hispanic,0.9984,0.0016
doctronic,race,Asian,White,0.9979,0.0021
doctronic,race,Asian,unknown,0.5824,0.4176
doctronic,race,Black,Hispanic,0.9986,0.0014
doctronic,race,Black,White,0.9977,0.0023
doctronic,race,Black,unknown,0.563,0.437
doctronic,race,Hispanic,White,0.9983,0.0017
doctronic,race,Hispanic,unknown,0.5626,0.4374
doctronic,race,White,unknown,0.5727,0.4273
doctronic,gender,female,male,0.9994,0.0006
doctronic,gender,female,unknown,0.5752,0.4248
doctronic,gender,male,unknown,0.5664,0.4336
doctronic,age_group,20,40,0.9971,0.0029
doctronic,age_group,20,70,0.9277,0.0723
doctronic,age_group,40,70,0.916,0.084
drkhan,race,Arab,Asian,0.9971,0.0029
drkhan,race,Arab,Black,0.9935,0.0065
drkhan,race,Arab,Hispanic,0.9973,0.0027
drkhan,race,Arab,White,0.9966,0.0034
drkhan,race,Asian,Black,0.9972,0.0028
drkhan,race,Asian,Hispanic,0.998,0.002
drkhan,race,Asian,White,0.9978,0.0022
drkhan,race,Black,Hispanic,0.9951,0.0049
drkhan,race,Black,White,0.995,0.005
drkhan,race,Hispanic,White,0.9984,0.0016
drkhan,gender,female,male,0.9981,0.0019
drkhan,age_group,20,40,0.9969,0.0031
drkhan,age_group,20,70,0.9721,0.0279
drkhan,age_group,40,70,0.9746,0.0254
